"","ds(matrix, norm = FALSE, type = ""D"")"
"1058108-Week1.1058108-1",0.25
"1058108-Week1.1058108-2",2.05434782608696
"1058108-Week1.1058108-3",-2.30434782608696
"1058108-Week2.1058108-1",-0.666666666666667
"1058108-Week2.1058108-2",0.666666666666667
"1058108-Week3.1058108-1",2.79086538461538
"1058108-Week3.1058108-2",-1.38461538461538
"1058108-Week3.1058108-3",-1.40625
"1062366-Week1.1062366-1",-0.992805755395683
"1062366-Week1.1062366-2",0.992805755395683
"1062366-Week2.1062366-1",-0.989010989010989
"1062366-Week2.1062366-2",0.989010989010989
"1062366-Week3.1062366-1",-0.9375
"1062366-Week3.1062366-2",0.9375
"1064394-Week1.1064394-1",0.988505747126437
"1064394-Week1.1064394-2",-0.988505747126437
"1064394-Week2.1064394-1",0.976744186046512
"1064394-Week2.1064394-2",-0.976744186046512
"1064394-Week3.1064394-1",0.96875
"1064394-Week3.1064394-2",-0.96875
"1068572-Week1.1068572-1",-0.996168582375479
"1068572-Week1.1068572-2",-0.863346104725415
"1068572-Week1.1068572-3",1.85951468710089
"1068572-Week2.1068572-1",-1.875
"1068572-Week2.1068572-2",-0.375
"1068572-Week2.1068572-3",2.25
"1068572-Week3.1068572-1",-0.566129032258065
"1068572-Week3.1068572-2",-1.68387096774194
"1068572-Week3.1068572-3",2.25
"1074455-Week1.1074455-1",0.989583333333333
"1074455-Week1.1074455-2",-0.989583333333333
"1074455-Week2.1074455-1",0.992805755395683
"1074455-Week2.1074455-2",-0.992805755395683
"1074455-Week3.1074455-1",0.977272727272727
"1074455-Week3.1074455-2",-0.977272727272727
"922587-Week1.922587-1",0.75
"922587-Week1.922587-2",-0.75
"927693-Week1.927693-1",0.8
"927693-Week1.927693-2",-0.8
"941702-Week1.941702-1",-1.5
"941702-Week1.941702-2",1.5
"941702-Week1.941702-3",0
"941702-Week2.941702-1",-0.5
"941702-Week2.941702-2",0.5
"957162-Week1.957162-1",-0.447368421052632
"957162-Week1.957162-2",0.447368421052632
"957162-Week2.957162-1",-0.535714285714286
"957162-Week2.957162-2",0.535714285714286
"957162-Week3.957162-1",0.3
"957162-Week3.957162-2",-0.3
