"","AnimalID","Cage","stab_status2"
"1","1001363-1","1001363","Unmeasurable"
"2","1001363-2","1001363","Unmeasurable"
"3","1058108-1","1058108","Unstable"
"4","1058108-2","1058108","Unstable"
"5","1058108-3","1058108","Unstable"
"6","1062366-1","1062366","Enforced stable"
"7","1062366-2","1062366","Enforced stable"
"8","1064394-1","1064394","Enforced stable"
"9","1064394-2","1064394","Enforced stable"
"10","1068572-1","1068572","Unstable"
"11","1068572-2","1068572","Unstable"
"12","1068572-3","1068572","Enforced stable"
"13","1074455-1","1074455","Enforced stable"
"14","1074455-2","1074455","Enforced stable"
"15","922587-1","922587","Unenforced stable"
"16","922587-2","922587","Unenforced stable"
"17","925878-1","925878","Unmeasurable"
"18","925878-2","925878","Unmeasurable"
"19","927693-1","927693","Unenforced stable"
"20","927693-2","927693","Unenforced stable"
"21","941702-1","941702","Unenforced stable"
"22","941702-2","941702","Unenforced stable"
"23","941702-3","941702","Unenforced stable"
"24","957162-1","957162","Unstable"
"25","957162-2","957162","Unstable"
"26","990342-1","990342","Unmeasurable"
"27","990342-2","990342","Unmeasurable"
